Date,Open,High,Low,Close,Adj Close,Volume
2017-10-17,11.800000,11.915000,11.705000,11.735000,11.735000,8177857
2017-10-18,11.790000,11.815000,11.635000,11.805000,11.805000,7662370
2017-10-19,11.775000,11.870000,11.600000,11.675000,11.675000,9154623
2017-10-20,11.705000,11.765000,11.520000,11.615000,11.615000,9173388
2017-10-23,11.650000,11.670000,11.390000,11.425000,11.425000,8508680
2017-10-24,11.530000,12.155000,11.500000,12.115000,12.115000,22893150
2017-10-25,12.190000,12.410000,12.065000,12.160000,12.160000,15315219
2017-10-26,12.050000,12.155000,11.720000,12.085000,12.085000,15572256
2017-10-27,12.175000,12.205000,11.695000,11.880000,11.880000,13415923
2017-10-30,11.940000,11.955000,11.735000,11.765000,11.765000,7992328
2017-10-31,11.765000,11.765000,11.765000,11.765000,11.765000,0
2017-11-01,11.850000,11.985000,11.780000,11.900000,11.900000,9414624
2017-11-02,11.915000,12.065000,11.890000,11.995000,11.995000,8579161
2017-11-03,12.020000,12.040000,11.715000,11.785000,11.785000,10621006
2017-11-06,11.785000,11.865000,11.625000,11.855000,11.855000,9561904
2017-11-07,11.910000,11.975000,11.800000,11.800000,11.800000,10225557
2017-11-08,11.720000,11.785000,11.545000,11.725000,11.725000,13026703
2017-11-09,11.790000,12.160000,11.750000,12.000000,12.000000,19919797
2017-11-10,12.045000,12.090000,11.825000,11.890000,11.890000,13776052
2017-11-13,11.960000,11.985000,11.615000,11.790000,11.790000,13993292
2017-11-14,11.840000,11.875000,11.630000,11.655000,11.655000,6632631
2017-11-15,11.600000,11.930000,11.085000,11.870000,11.870000,24080143
2017-11-16,11.930000,12.145000,11.880000,12.060000,12.060000,14838116
2017-11-17,12.055000,12.185000,12.040000,12.120000,12.120000,9286470
2017-11-20,12.000000,12.465000,11.985000,12.370000,12.370000,13348023
2017-11-21,12.345000,12.445000,12.215000,12.215000,12.215000,10081185
2017-11-22,12.260000,12.295000,12.050000,12.050000,12.050000,5989170
2017-11-23,12.000000,12.120000,11.870000,12.080000,12.080000,6535139
2017-11-24,12.090000,12.250000,12.075000,12.080000,12.080000,6688731
2017-11-27,12.160000,12.265000,12.035000,12.080000,12.080000,7248669
2017-11-28,12.130000,12.205000,12.050000,12.080000,12.080000,7626101
2017-11-29,12.200000,12.300000,12.110000,12.135000,12.135000,10733995
2017-11-30,12.170000,12.400000,12.085000,12.155000,12.155000,11333079
2017-12-01,12.200000,12.270000,12.035000,12.075000,12.075000,11929086
2017-12-04,12.250000,12.485000,12.185000,12.445000,12.445000,11042773
